Country,Location,Site,Latitude,Longitude,Lat_reg,Quadrat_number,CoralID,Genus,Morpho,Sampling_1,Area_1,Sampling_2,Area_2,Sampling_3,Area_3,Interval_days_12,Interval_days_23
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,1,1,Pocillopora,bushy,6/5/2012,2.46,6/13/2013,0,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,1,2,Porites,encrusting,6/5/2012,3.72,6/13/2013,11.05,8/29/2014,17.07,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,1,3,Porites,encrusting,6/5/2012,8.77,6/13/2013,18.44,8/29/2014,22.44,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,1,4,Acropora,table,6/5/2012,7.3,6/13/2013,12.01,8/29/2014,9.85,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,1,5,Porites,encrusting,6/5/2012,37.27,6/13/2013,7.86,8/29/2014,23.52,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,1,6,Favites,encrusting,6/5/2012,82.54,6/13/2013,117.71,8/29/2014,168.15,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,1,7,Porites,branching,6/5/2012,13.3,6/13/2013,28.01,8/29/2014,40.44,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,1,8,Porites,branching,6/5/2012,2.42,6/13/2013,14.75,8/29/2014,29.76,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,1,9,Porites,encrusting,6/5/2012,3.86,6/13/2013,7.61,8/29/2014,7.33,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,1,10,Acropora,table,6/5/2012,15.83,6/13/2013,11.46,8/29/2014,74.67,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,1,11,Acropora,branching,6/5/2012,0,6/13/2013,8,8/29/2014,27.43,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,1,12,Porites,encrusting,6/5/2012,0,6/13/2013,3.46,8/29/2014,10.85,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,1,13,Porites,encrusting,6/5/2012,0,6/13/2013,1.25,8/29/2014,22.74,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,1,14,Porites,branching,6/5/2012,0,6/13/2013,5.89,8/29/2014,37.87,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,2,15,Porites,encrusting,6/5/2012,10.99,6/13/2013,25.59,8/29/2014,47.6,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,2,16,Porites,encrusting,6/5/2012,0.98,6/13/2013,9.83,8/29/2014,27.26,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,2,17,Porites,encrusting,6/5/2012,3.52,6/13/2013,4.98,8/29/2014,9.11,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,2,18,Dipsastraea,encrusting,6/5/2012,3.83,6/13/2013,8.96,8/29/2014,13.34,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,2,19,Dipsastraea,encrusting,6/5/2012,2,6/13/2013,6.97,8/29/2014,17.52,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,2,20,Porites,encrusting,6/5/2012,4.25,6/13/2013,9.87,8/29/2014,21.84,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,2,21,Porites,branching,6/5/2012,4.43,6/13/2013,0,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,2,22,Dipsastraea,encrusting,6/5/2012,0,6/13/2013,1.24,8/29/2014,3.32,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,2,23,Dipsastraea,encrusting,6/5/2012,0,6/13/2013,1.56,8/29/2014,4.08,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,3,24,Favites,encrusting,6/5/2012,11.57,6/13/2013,21.25,8/29/2014,34.37,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,3,25,Porites,encrusting,6/5/2012,1.02,6/13/2013,4.36,8/29/2014,14.79,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,3,26,Porites,encrusting,6/5/2012,4.43,6/13/2013,8.92,8/29/2014,26.29,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,3,27,Favites,encrusting,6/5/2012,4.48,6/13/2013,9.78,8/29/2014,11.68,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,3,28,Porites,encrusting,6/5/2012,1.47,6/13/2013,0,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,3,29,Porites,encrusting,6/5/2012,4.06,6/13/2013,9.51,8/29/2014,23,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,3,30,Porites,encrusting,6/5/2012,2.78,6/13/2013,9.02,8/29/2014,21,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,3,31,Porites,encrusting,6/5/2012,1.04,6/13/2013,4.95,8/29/2014,8.04,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,3,32,Porites,encrusting,6/5/2012,11.16,6/13/2013,36.69,8/29/2014,47.96,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,3,33,Porites,encrusting,6/5/2012,9.62,6/13/2013,14.2,8/29/2014,34.91,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,3,34,Porites,encrusting,6/5/2012,1.04,6/13/2013,0,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,3,35,Porites,encrusting,6/5/2012,0,6/13/2013,3.59,8/29/2014,10.24,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,3,36,Porites,encrusting,6/5/2012,0,6/13/2013,5.31,8/29/2014,8.78,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,3,37,Porites,encrusting,6/5/2012,0,6/13/2013,1.17,8/29/2014,5.67,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,3,38,Porites,encrusting,6/5/2012,0,6/13/2013,15.59,8/29/2014,45.18,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,4,39,Porites,encrusting,6/5/2012,10.8,6/13/2013,33.03,8/29/2014,53.04,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,4,40,Porites,encrusting,6/5/2012,3.63,6/13/2013,16.37,8/29/2014,39.89,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,4,41,Dipsastraea,encrusting,6/5/2012,2.33,6/13/2013,5.56,8/29/2014,10.49,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,4,42,Porites,massive,6/5/2012,18,6/13/2013,9.77,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,4,43,Pocillopora,bushy,6/5/2012,3.06,6/13/2013,0,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,4,44,Pocillopora,bushy,6/5/2012,5.82,6/13/2013,0,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,4,45,Pocillopora,bushy,6/5/2012,3.18,6/13/2013,0,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,4,46,Acropora,table,6/5/2012,0,6/13/2013,6.89,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,4,47,Porites,branching,6/5/2012,0,6/13/2013,2.22,8/29/2014,5.82,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,4,48,Favites,encrusting,6/5/2012,0,6/13/2013,1.67,8/29/2014,3.88,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,5,49,Dipsastraea,encrusting,6/5/2012,7.01,6/13/2013,15.2,8/29/2014,15.84,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,5,50,Dipsastraea,encrusting,6/5/2012,0.82,6/13/2013,0,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,5,51,Porites,encrusting,6/5/2012,4.66,6/13/2013,5.53,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,5,52,Porites,encrusting,6/5/2012,7.28,6/13/2013,10.62,8/29/2014,12.88,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,5,53,Porites,encrusting,6/5/2012,11.65,6/13/2013,10.99,8/29/2014,12.16,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,5,54,Porites,encrusting,6/5/2012,7.43,6/13/2013,0,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,5,55,Dipsastraea,encrusting,6/5/2012,0,6/13/2013,3.92,8/29/2014,6.88,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,5,56,Favites,encrusting,6/5/2012,0,6/13/2013,2.05,8/29/2014,3.88,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,5,57,Porites,encrusting,6/5/2012,0,6/13/2013,5.69,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,5,58,Pocillopora,bushy,6/5/2012,0,6/13/2013,0,8/29/2014,7.01,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,6,59,Porites,encrusting,6/5/2012,2.34,6/13/2013,6.75,8/29/2014,12,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,6,60,Porites,encrusting,6/5/2012,5.48,6/13/2013,13.9,8/29/2014,22.38,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,6,61,Porites,encrusting,6/5/2012,5.64,6/13/2013,14.73,8/29/2014,32.26,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,6,62,Porites,encrusting,6/5/2012,2.18,6/13/2013,7.81,8/29/2014,12.71,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,6,63,Porites,encrusting,6/5/2012,1.38,6/13/2013,5.01,8/29/2014,6.42,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,6,64,Porites,encrusting,6/5/2012,3.53,6/13/2013,6.73,8/29/2014,8.92,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,6,65,Favites,encrusting,6/5/2012,11.72,6/13/2013,0,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,8,66,Acropora,table,6/5/2012,33.72,6/13/2013,48.01,8/29/2014,84.85,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,8,67,Porites,encrusting,6/5/2012,9.55,6/13/2013,9.82,8/29/2014,18.72,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,8,68,Favites,encrusting,6/5/2012,4.79,6/13/2013,11.94,8/29/2014,23.22,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,8,69,Favites,encrusting,6/5/2012,0.88,6/13/2013,3.2,8/29/2014,6.99,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,8,70,Favites,encrusting,6/5/2012,1.09,6/13/2013,1.68,8/29/2014,2.04,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,8,71,Favites,encrusting,6/5/2012,1.62,6/13/2013,2.19,8/29/2014,17.81,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,8,72,Favites,encrusting,6/5/2012,2.76,6/13/2013,6.26,8/29/2014,8.65,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,8,73,Porites,encrusting,6/5/2012,4.74,6/13/2013,13.57,8/29/2014,19.32,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,8,74,Pocillopora,bushy,6/5/2012,9.25,6/13/2013,0,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,8,75,Favites,encrusting,6/5/2012,0,6/13/2013,5.45,8/29/2014,9.63,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,15,76,Porites,massive,6/5/2012,9.41,6/13/2013,10.51,8/29/2014,11.36,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,15,77,Porites,massive,6/5/2012,159.6,6/13/2013,160.23,8/29/2014,146.75,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,15,78,Favites,encrusting,6/5/2012,19.88,6/13/2013,35.73,8/29/2014,70.61,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,15,79,Favites,encrusting,6/5/2012,4.87,6/13/2013,4.88,8/29/2014,12.5,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,15,80,Favites,encrusting,6/5/2012,22.02,6/13/2013,33.65,8/29/2014,47.86,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,15,81,Porites,encrusting,6/5/2012,13.75,6/13/2013,2.66,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,15,82,Porites,branching,6/5/2012,0,6/13/2013,12.6,8/29/2014,73.47,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,15,83,Porites,encrusting,6/5/2012,0,6/13/2013,2.62,8/29/2014,6.37,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,15,84,Porites,encrusting,6/5/2012,0,6/13/2013,3.77,8/29/2014,14.3,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,16,85,Favites,encrusting,6/5/2012,5.34,6/13/2013,11.19,8/29/2014,16.22,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,16,86,Porites,branching,6/5/2012,9.23,6/13/2013,15.14,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,16,87,Porites,encrusting,6/5/2012,0,6/13/2013,18.29,8/29/2014,101.74,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,17,88,Porites,encrusting,6/5/2012,131.21,6/13/2013,153.92,8/29/2014,248.1,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,17,89,Favites,encrusting,6/5/2012,8.73,6/13/2013,15.2,8/29/2014,20.15,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,17,90,Favites,encrusting,6/5/2012,29.79,6/13/2013,28.58,8/29/2014,37.84,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,17,91,Porites,encrusting,6/5/2012,2.99,6/13/2013,5.22,8/29/2014,9.93,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,17,92,Dipsastraea,encrusting,6/5/2012,23.58,6/13/2013,27,8/29/2014,34,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,17,93,Porites,encrusting,6/5/2012,6.96,6/13/2013,0,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,17,94,Favites,encrusting,6/5/2012,3.94,6/13/2013,8.31,8/29/2014,9.23,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,17,95,Favites,encrusting,6/5/2012,1.33,6/13/2013,2.57,8/29/2014,4.77,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,17,96,Favites,encrusting,6/5/2012,3.42,6/13/2013,9.84,8/29/2014,14.37,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,17,97,Favites,encrusting,6/5/2012,23.11,6/13/2013,24.33,8/29/2014,14.51,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,17,98,Favites,encrusting,6/5/2012,9.98,6/13/2013,12.38,8/29/2014,16.5,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,17,99,Porites,encrusting,6/5/2012,19.11,6/13/2013,24.67,8/29/2014,35.82,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,17,100,Porites,encrusting,6/5/2012,0,6/13/2013,14.87,8/29/2014,20.94,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,17,101,Porites,encrusting,6/5/2012,0,6/13/2013,4.18,8/29/2014,10.03,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,17,102,Favites,encrusting,6/5/2012,0,6/13/2013,4.49,8/29/2014,13.71,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,18,103,Porites,encrusting,6/5/2012,21.28,6/13/2013,104.94,8/29/2014,157.07,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,18,104,Porites,encrusting,6/5/2012,53.34,6/13/2013,0,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,18,105,Porites,branching,6/5/2012,9.89,6/13/2013,17.5,8/29/2014,57.27,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,18,106,Favites,encrusting,6/5/2012,5.54,6/13/2013,14.96,8/29/2014,29.98,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,18,107,Favites,encrusting,6/5/2012,11.66,6/13/2013,24.51,8/29/2014,37.77,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,18,108,Favites,encrusting,6/5/2012,5.9,6/13/2013,14.91,8/29/2014,14.06,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,18,109,Porites,encrusting,6/5/2012,19.52,6/13/2013,31.16,8/29/2014,33.53,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,18,110,Dipsastraea,encrusting,6/5/2012,10.36,6/13/2013,29.98,8/29/2014,34.85,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,18,111,Porites,encrusting,6/5/2012,32.55,6/13/2013,29.64,8/29/2014,17.24,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,18,112,Favites,encrusting,6/5/2012,14.66,6/13/2013,23.15,8/29/2014,34.85,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,18,113,Dipsastraea,encrusting,6/5/2012,0,6/13/2013,2.61,8/29/2014,8.54,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,18,114,Porites,encrusting,6/5/2012,0,6/13/2013,14.12,8/29/2014,34.35,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,19,115,Dipsastraea,encrusting,6/5/2012,2.93,6/13/2013,2.2,8/29/2014,4.03,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,19,116,Dipsastraea,encrusting,6/5/2012,3.27,6/13/2013,3.6,8/29/2014,4.6,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,19,117,Favites,encrusting,6/5/2012,30.82,6/13/2013,40.03,8/29/2014,63.65,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,19,118,Porites,encrusting,6/5/2012,64.21,6/13/2013,98.3,8/29/2014,90.49,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,19,119,Favites,encrusting,6/5/2012,2.97,6/13/2013,2.68,8/29/2014,10.25,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,20,120,Porites,massive,6/5/2012,72.65,6/13/2013,108.87,8/29/2014,114.26,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,20,121,Favites,encrusting,6/5/2012,6,6/13/2013,12.56,8/29/2014,4.12,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,20,122,Favites,encrusting,6/5/2012,7.31,6/13/2013,16.57,8/29/2014,25.91,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,20,123,Porites,massive,6/5/2012,100.95,6/13/2013,0,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,20,124,Acropora,corymbose,6/5/2012,15.62,6/13/2013,0,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,20,125,Pocillopora,bushy,6/5/2012,15.71,6/13/2013,0,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,21,126,Porites,encrusting,6/5/2012,5.27,6/13/2013,20.3,8/29/2014,25.79,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,21,127,Porites,encrusting,6/5/2012,3.39,6/13/2013,8.71,8/29/2014,12.3,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,21,128,Porites,encrusting,6/5/2012,8.47,6/13/2013,20.36,8/29/2014,22.84,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,21,129,Dipsastraea,encrusting,6/5/2012,12.64,6/13/2013,19.03,8/29/2014,21,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,21,130,Dipsastraea,encrusting,6/5/2012,10.87,6/13/2013,15.69,8/29/2014,14.95,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,21,131,Dipsastraea,encrusting,6/5/2012,9.07,6/13/2013,14.21,8/29/2014,13.03,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,21,132,Acropora,corymbose,6/5/2012,6.75,6/13/2013,0,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,22,133,Porites,branching,6/5/2012,9.29,6/13/2013,0,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,22,134,Acropora,corymbose,6/5/2012,7.29,6/13/2013,0,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,22,135,Acropora,corymbose,6/5/2012,24.08,6/13/2013,0,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,22,136,Acropora,corymbose,6/5/2012,4.73,6/13/2013,0,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,22,137,Porites,encrusting,6/5/2012,0,6/13/2013,15.69,8/29/2014,21.29,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,22,138,Porites,encrusting,6/5/2012,0,6/13/2013,12.2,8/29/2014,14.12,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,23,139,Dipsastraea,encrusting,6/5/2012,5.08,6/13/2013,10,8/29/2014,11.72,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,23,140,Acropora,corymbose,6/5/2012,12.32,6/13/2013,0,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,23,141,Favites,encrusting,6/5/2012,9.66,6/13/2013,1.91,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,23,142,Favites,encrusting,6/5/2012,0,6/13/2013,1.27,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,24,143,Porites,massive,6/5/2012,106.89,6/13/2013,126.92,8/29/2014,163.68,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,24,144,Porites,encrusting,6/5/2012,45.89,6/13/2013,81.11,8/29/2014,91.72,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,24,145,Dipsastraea,encrusting,6/5/2012,0.79,6/13/2013,0,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,24,146,Porites,encrusting,6/5/2012,3.27,6/13/2013,12.32,8/29/2014,13.65,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,24,147,Favites,encrusting,6/5/2012,22.81,6/13/2013,0,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,24,148,Dipsastraea,encrusting,6/5/2012,0,6/13/2013,4.04,8/29/2014,13.52,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,25,149,Porites,encrusting,6/5/2012,156.9,6/13/2013,222.87,8/29/2014,171.43,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,25,150,Porites,encrusting,6/5/2012,14.58,6/13/2013,23.6,8/29/2014,31.17,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,25,151,Dipsastraea,encrusting,6/5/2012,5.12,6/13/2013,17.16,8/29/2014,32.56,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,25,152,Porites,encrusting,6/5/2012,0,6/13/2013,5.26,8/29/2014,16.24,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,26,153,Favites,encrusting,6/5/2012,4.95,6/13/2013,9.45,8/29/2014,17.38,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,26,154,Porites,encrusting,6/5/2012,2.22,6/13/2013,0,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,26,155,Dipsastraea,encrusting,6/5/2012,29.2,6/13/2013,38.08,8/29/2014,53.41,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,26,156,Dipsastraea,encrusting,6/5/2012,11.32,6/13/2013,16.94,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,26,157,Favites,encrusting,6/5/2012,4.07,6/13/2013,0,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,26,158,Porites,encrusting,6/5/2012,0,6/13/2013,11.99,8/29/2014,26.55,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,27,159,Favites,encrusting,6/5/2012,4.17,6/13/2013,11.7,8/29/2014,17.85,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,27,160,Dipsastraea,encrusting,6/5/2012,0.93,6/13/2013,3.6,8/29/2014,6.87,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,27,161,Dipsastraea,encrusting,6/5/2012,3.29,6/13/2013,7.42,8/29/2014,13.81,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,27,162,Porites,encrusting,6/5/2012,2.34,6/13/2013,0,8/29/2014,0,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,27,163,Porites,encrusting,6/5/2012,0,6/13/2013,2.92,8/29/2014,7.9,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,27,164,Porites,encrusting,6/5/2012,0,6/13/2013,2.87,8/29/2014,5.28,373,442
Indonesia,Manado,Buken_Is_West_point,1.62334,124.73323,tropical,27,165,Porites,encrusting,6/5/2012,0,6/13/2013,0,8/29/2014,7.3,373,442
